developmentProjectName,developmentProjectAddressText,statusDsc,officeSquareFeetQty,retailSquareFeetQty,otherSquareFeetQty,residentialUnitCnt,hotelRoomCnt,sitePlanDate,underConstructionDate,generalLandUsePlanDsc,zoningTypeDsc,developerName,siteSquareFeetQty,houseTypeDsc,heightFeetQty,storiesCnt,parkingSpaceCnt,latitudeCrd,longitudeCrd
1944 N Edison St,1944 N  EDISON ST,Under Construction,0,0,0,1,0,,2017-01-11T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89330932,-77.12877756
2000 Clarendon Blvd,2000 CLARENDON BLVD,Approved (Not Under Construction),0,1921,0,90,0,2016-06-18T00:00:00,,High Office-Apartment-Hotel,"Commercial Off. Bldg, Hotel and Multiple-Family",,,Highrise (4+ stories),,,112,38.89148392,-77.08208956
2003 S Lincoln St,2003 S LINCOLN ST,Under Construction,0,0,0,1,0,,2017-07-10T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Duplex,,,,38.85141554,-77.08758796
2005 S Lincoln St,2005 S LINCOLN ST,Under Construction,0,0,0,1,0,,2017-07-10T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Duplex,,,,38.85132685,-77.0875257
2008 S Monroe St,2008 S MONROE ST,Under Construction,0,0,0,1,0,,2007-10-09T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,6180,Single-family detached house,,,,38.85126989,-77.09037147
2014 S Langley St,2014 S LANGLEY ST,Under Construction,0,0,0,1,0,,2017-09-28T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Single-family detached house,,,,38.85145101,-77.08907676
2039 S  Langley St,2039 S  LANGLEY ST,Under Construction,0,0,0,1,0,,2016-09-07T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Single-family detached house,,,,38.850586,-77.088678
2041 S  Langley St,2041 S  LANGLEY ST,Under Construction,0,0,0,1,0,,2016-09-07T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Single-family detached house,,,,38.8508427,-77.0889067
2115 S  Arlington Ridge Rd,2115 S  ARLINGTON RIDGE RD,Under Construction,0,0,0,1,0,,2017-04-11T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.854191,-77.067842
2121 S  Lowell St,2121 S  LOWELL ST,Under Construction,0,0,0,1,0,,2016-10-13T00:00:00,Low Residential (11-15 units/acre),Two-Family and Town House Dwelling District,,,Single-family detached house,,,,38.84944673,-77.08801004
2126 N Rolfe St,2126 N ROLFE ST,Under Construction,0,0,0,1,0,,2014-04-29T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,8750,Single-family detached house,,,,38.89972996,-77.08099109
2136 N Pollard St,2136 N  POLLARD ST,Under Construction,0,0,0,1,0,,2017-03-06T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89815194,-77.10688053
2213 N Kentucky St,2213 N KENTUCKY ST,Under Construction,0,0,0,1,0,,2017-09-06T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89261204,-77.14130684
2226 N Kensington St,2226 N KENSINGTON ST,Under Construction,0,0,0,1,0,,2017-08-28T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89309751,-77.14113776
Greenbrier Village Phase II,2251 N GREENBRIER ST,Approved (Not Under Construction),0,0,0,4,0,2009-10-01T00:00:00,,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89614053,-77.13564852
2301 N Wakefield St,2301 N WAKEFIELD ST,Under Construction,0,0,0,1,0,,2017-08-25T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9002764,-77.12022783
2311 Wilson Blvd,2311 WILSON BLVD,Under Construction,149553,14025,8800,0,0,2012-12-08T00:00:00,2017-03-07T00:00:00,High-Medium Residential Mixed-Use,Apartment Dwelling and Commercial District,,,,,,,38.89110558,-77.08671365
2313 N Stuart St,2313 N STUART ST,Under Construction,0,0,0,1,0,,2017-09-19T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9043308,-77.11399631
2313 N Trenton St,2313 N TRENTON ST,Under Construction,0,0,0,1,0,,2017-08-10T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90163068,-77.11572432
235 N Edgewood St,235 N  EDGEWOOD ST,Under Construction,0,0,0,1,0,,2017-03-29T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.87846241,-77.08987776
New Century Center Residential,2351 JEFFERSON DAVIS HIGHWAY,Approved (Not Under Construction),0,21836,0,308,0,2017-07-15T00:00:00,,High Office-Apartment-Hotel,"Commercial Off. Bldg, Hotel and Multiple-Family",,,Highrise (4+ stories),,24,242,38.85292164,-77.05048749
2351 N Daniel St,2351 N DANIEL ST,Under Construction,0,0,0,1,0,,2014-03-27T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,28314,Single-family detached house,,,,38.8990574,-77.09481746
2361 N Edgewood St,2361 N EDGEWOOD ST,Under Construction,0,0,0,1,0,,2013-09-06T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,31337,Single-family detached house,,,,38.89947664,-77.09577409
2400 Columbia Pike,2400 COLUMBIA PIKE,Approved (Not Under Construction),0,12997,0,105,0,2016-06-18T00:00:00,,Service Commercial,Service Commercial -  Community Business Distric,,,Highrise (4+ stories),,,140,38.8635172,-77.0833002
2407 N Vernon St,2407 N  VERNON ST,Under Construction,0,0,0,1,0,,2017-02-08T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90457802,-77.11992501
2409 Clardendon Blvd,2409 CLARENDON BLVD,Under Construction,0,0,0,1,0,,2013-12-30T00:00:00,High-Medium Residential Mixed-Use,Service Commercial -  Community Business Distric,,0,Single-family detached house,,,,38.88990911,-77.08813472
2412 N  Utah St,2412 N  UTAH ST,Under Construction,0,0,0,1,0,,2017-04-04T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9027778,-77.117259
2413 N  Vermont St,2413 N VERMONT ST,Under Construction,0,0,0,1,0,,2015-08-07T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9055537,-77.11879311
2421 N  Buchanan St,2421 N  BUCHANAN ST,Under Construction,0,0,0,1,0,,2017-06-30T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9004953,-77.1277011
2428 N Potomac St,2428 N  POTOMAC ST,Under Construction,0,0,0,1,0,,2017-01-03T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89388233,-77.15272411
2507 9th St N,2507 9TH ST N,Under Construction,0,0,0,1,0,,2007-06-22T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,4500,Single-family detached house,,,,38.88314719,-77.08799149
2509 N Utah St,2509 N  UTAH ST,Under Construction,0,0,0,1,0,,2017-02-22T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9056317,-77.11571947
2513 9th St N,2513 9TH ST N,Under Construction,0,0,0,1,0,,2017-03-15T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.88314305,-77.08821818
2523 N Mckinley St,2523 N MCKINLEY ST,Under Construction,0,0,0,1,0,,2017-07-17T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89558016,-77.14530503
2525 N  Granada St,2525 N GRANADA ST,Under Construction,0,0,0,1,0,,2015-12-04T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89791292,-77.13625212
Airport Plaza IV,2600 CRYSTAL DR,Approved (Not Under Construction),0,0,0,198,0,1981-01-01T00:00:00,,High Office-Apartment-Hotel,"Commercial Off. Bldg, Hotel and Multiple-Family",,0,Highrise (4+ stories),,,0,38.84967642,-77.051273
2606 N Upshur St,2606 N UPSHUR ST,Under Construction,0,0,0,1,0,,2017-07-26T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90595701,-77.11733391
2611 N  Powhatan St,2611 N  POWHATAN ST,Under Construction,0,0,0,1,0,,2016-08-24T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.895848,-77.1513109
2611 N  Marcey Rd,2611 N MARCEY RD,Under Construction,0,0,0,1,0,,2015-09-13T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90782394,-77.11007468
2614 Washington Blvd,2614 WASHINGTON BLVD,Under Construction,0,0,0,1,0,,2013-05-30T00:00:00,,"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.878854,-77.089174
2615 N Powhatan St,2615 N POWHATAN ST,Under Construction,0,0,0,1,0,,2016-03-02T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,5600,Single-family detached house,,,,38.89597991,-77.15130991
2619 N  Rockingham St,2619 N  ROCKINGHAM ST,Under Construction,0,0,0,1,0,,2017-04-04T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.895365,-77.156035
2661 Military Rd,2661 MILITARY RD,Under Construction,0,0,0,1,0,,2017-07-10T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90868952,-77.11076614
2700 N Buchanan St,2700 N BUCHANAN ST,Under Construction,0,0,0,1,0,,2015-09-09T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,10010,Single-family detached house,,,,38.90316124,-77.12927996
2701 12Th St S,2701 12TH ST S,Under Construction,0,0,0,1,0,,2016-11-07T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.86128888,-77.08521699
Maserati of Arlington,2710 S  GLEBE RD,Under Construction,0,12578,0,0,0,,2017-02-21T00:00:00,Service Commercial,Service Commercial -  Community Business Distric,,,,,,,38.84450755,-77.07840546
2711 N Edison St,2711 N EDISON ST,Under Construction,0,0,0,1,0,,2017-07-14T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90196146,-77.13678568
2723 S  June St,2723 S  JUNE ST,Under Construction,0,0,0,1,0,,2017-05-03T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.8465993,-77.0648005
28 S Pershing Dr,28 S PERSHING DR,Under Construction,0,0,0,1,0,,2017-03-22T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.86703791,-77.11090227
The Berkeley,2900 S GLEBE RD,Approved (Not Under Construction),0,0,0,257,0,2016-05-17T00:00:00,,Low-Medium Residential,Apartment Dwelling District,,,Garden (Less than 4 stories),,,241,38.8444288,-77.06901669
2910 2Nd Rd N,2910 2ND RD N,Under Construction,0,0,0,1,0,,2016-11-30T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.87699459,-77.09147961
300 N  Jefferson St,300 N  JEFFERSON ST,Under Construction,0,0,0,1,0,,2017-06-05T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.8708306,-77.1257665
3010 7th St N,3010 7TH ST N,Under Construction,0,0,0,1,0,,2015-07-30T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,4917,Single-family detached house,,,,38.88079194,-77.09403103
3012 12th St S,3012 12TH ST S,Under Construction,0,0,0,1,0,,2017-01-11T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,,Single-family detached house,,,,38.86035831,-77.08800413
3013 N  Underwood St,3013 N UNDERWOOD ST,Under Construction,0,0,0,1,0,,2016-04-26T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89653726,-77.16500448
3018 N Westmorland St,3018 N WESTMORELAND ST,Under Construction,0,0,0,1,0,,2013-10-04T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,7822,Single-family detached house,,,,38.89634384,-77.16828836
3025 N Toronto St,3025 N TORONTO ST,Under Construction,0,0,0,1,0,,2017-08-11T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89901476,-77.16227793
3032 N Nottingham St,3032 N NOTTINGHAM ST,Under Construction,0,0,0,1,0,,2017-07-26T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90247906,-77.15142753
Abingdon Elementary School Addition,3035 S ABINGDON ST,Under Construction,0,0,30000,0,0,2015-09-19T00:00:00,2016-07-22T00:00:00,Public,Special District,,,,,,0,38.83983727,-77.09609176
3038 N Peary St,3038 N PEARY ST,Under Construction,0,0,0,1,0,,2016-02-26T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,10450,Single-family detached house,,,,38.91709664,-77.1134616
3080 N  Pollard St,3080 N  POLLARD ST,Under Construction,0,0,0,1,0,,2017-05-18T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9143096,-77.1148886
3106 N  Taylor St,3106 N  TAYLOR ST,Under Construction,0,0,0,1,0,,2017-04-14T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9111864,-77.1183352
3121 24th St S,3121 24TH ST S,Under Construction,0,0,0,1,0,,2013-12-06T00:00:00,Service Commercial,Two-Family and Town House Dwelling District,,3401,Single-family detached house,,,,38.84881044,-77.08360652
3132 10Th St N,3132 10TH ST N,Under Construction,0,0,0,1,0,,2016-05-11T00:00:00,Service Commercial,General Commercial District,,,Single-family detached house,,,,38.88419773,-77.09595635
3200 N George Mason Dr,3200 N GEORGE MASON DR,Under Construction,0,0,0,1,0,,2015-12-14T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,10175,Single-family detached house,,,,38.90666738,-77.13946041
3313 John Marshall Dr,3313 JOHN MARSHALL DR,Under Construction,0,0,0,1,0,,2017-04-10T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.90524026,-77.15074798
3313 N  Pocomoke St,3313 N  POCOMOKE ST,Under Construction,0,0,0,1,0,,2017-06-21T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9020073,-77.1542484
Long Bridge Park Aquatics and Fitness Facility (Phase I),333 LONG BRIDGE DR,Approved (Not Under Construction),0,0,120420,0,0,2013-03-16T00:00:00,,Public,Public Service District,,1083470,,,,360,38.86957043,-77.04455995
3400 Military Rd,3400 MILITARY RD,Under Construction,0,0,0,1,0,,2016-05-19T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9154507,-77.11915909
George Mason University - Phase III,3401 FAIRFAX DR,Approved (Not Under Construction),90000,11000,183000,0,0,1994-01-01T00:00:00,,Public,General Commercial District,,130680,,,,1100,38.88511428,-77.10024221
3411 N  Woodrow St,3411 N  WOODROW ST,Under Construction,0,0,0,1,0,,2016-11-01T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91377647,-77.1275676
3412 3rd St N,3412 3RD ST N,Under Construction,0,0,0,1,0,,2017-02-10T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.87578772,-77.09851691
3422 N  Abingdon St,3422 N  ABINGDON ST,Under Construction,0,0,0,1,0,,2016-10-21T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91313048,-77.13120298
3506 N Dinwiddie St,3506 N DINWIDDIE ST,Under Construction,0,0,0,1,0,,2017-07-06T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91358315,-77.13921638
3507 16th St S,3507 16TH ST S,Under Construction,0,0,0,1,0,,2007-05-30T00:00:00,Low Residential (1-10 units/acre),"One-Family, Restricted Two Family Dwelling Distr",,6050,Single-family detached house,,,,38.85618297,-77.09032235
3507 N Dinwiddie St,3507 N DINWIDDIE ST,Under Construction,0,0,0,1,0,,2012-08-24T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,10030,Single-family detached house,,,,38.91346212,-77.13874857
3515 14th St N,3515 14TH ST N,Under Construction,0,0,0,1,0,,2011-03-14T00:00:00,,"One-Family, Restricted Two Family Dwelling Distr",,6295,Single-family detached house,,,,38.88858594,-77.10406946
3527 N  Rockingham St,3527 N  ROCKINGHAM ST,Under Construction,0,0,0,1,0,,2017-04-19T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9025149,-77.1577722
3530 N Utah St,3530 N  UTAH ST,Under Construction,0,0,0,1,0,,2017-02-15T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9176178,-77.12422645
3530 Roberts Ln,3530 ROBERTS LN,Under Construction,0,0,0,1,0,,2017-02-01T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.92010092,-77.11253292
3541 N  Utah St,3541 N UTAH ST,Under Construction,0,0,0,1,0,,2015-12-11T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91785059,-77.12351416
3600 N  Woodstock St,3600 N  WOODSTOCK ST,Under Construction,0,0,0,1,0,,2016-06-13T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91562398,-77.13188744
3604 17th St N,3604 17TH ST N,Under Construction,0,0,0,1,0,,2017-05-03T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.89196968,-77.10430057
3606 N Nelson St,3606 N NELSON ST,Under Construction,0,0,0,1,0,,2017-09-15T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.92004017,-77.1153659
3703 N Randolph St,3703 N RANDOLPH ST,Under Construction,0,0,0,1,0,,2015-03-16T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.92092484,-77.12163286
3715 N Wakefield St,3715 N WAKEFIELD ST,Under Construction,0,0,0,1,0,,2017-08-03T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.91717663,-77.12938003
3737 N  Vermont St,3737 N  VERMONT ST,Under Construction,0,0,0,1,0,,2017-05-19T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.9187576,-77.1278994
3806 N  Stafford St,3806 N  STAFFORD ST,Under Construction,0,0,0,1,0,,2017-06-30T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.922345,-77.122882
3838 N Cathedral Lane,3838 N CATHEDRAL LN,Approved (Not Under Construction),4590,0,0,0,0,2013-04-20T00:00:00,,,"Commercial Office Building, Hotel and Apartment",,,,,,,38.870734,-77.1023192
3905 N  Upland St,3905 N  UPLAND ST,Under Construction,0,0,0,1,0,,2016-09-28T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.922225,-77.1308675
3909 16th St S,3909 16TH ST S,Under Construction,0,0,0,1,0,,2016-08-18T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.85465739,-77.09581537
4007 Vacation Ln,4007 VACATION LN,Under Construction,0,0,0,1,0,,2007-11-16T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,9918,Single-family detached house,,,,38.90011407,-77.10811325
4030 18th St S,4030 18TH ST S,Under Construction,0,0,0,1,0,,2017-06-05T00:00:00,Low Residential (1-10 units/acre),One-Family Dwelling District,,,Single-family detached house,,,,38.85160571,-77.09698915
